CUI|Concept|CCS|Phecode|CTD|HPO|HDO
C0001510|'Adhesion, postoperative'|[200]|['Derm', 'GI']|['Pathology (process)']|['HP:0033127 ! Abnormality of the musculoskeletal system']|[]
C0001546|'Adjustment Disease::Reactive Disease::ADJUSTMENT DISORDER'|[650]|['Mental']|['Mental disorder']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0001621|'Adrenal Disease'|[51]|['Endo']|['Endocrine system disease']|['HP:0000818 ! Abnormality of the endocrine system']|['DOID:7 ! disease of anatomical entity']
C0001623|'Hypoadrenalism'|[51]|['Endo']|['Endocrine system disease']|['HP:0000818 ! Abnormality of the endocrine system']|['DOID:7 ! disease of anatomical entity']
C0001624|'Adrenal tumour::tumor adrenal gland'|[51]|['Endo']|['Cancer', 'Endocrine system disease']|['HP:0000818 ! Abnormality of the endocrine system']|['DOID:14566 ! disease of cellular proliferation']
C0001726|'Affective Symptoms'|[655]|['Dev']|[]|['HP:0000707 ! Abnormality of the nervous system']|[]
C0001768|'Agammaglobulinemia'|[57]|['Blood']|['Blood disease', 'Immune system disease', 'Lymphatic disease']|['HP:0002715 ! Abnormality of the immune system']|['DOID:7 ! disease of anatomical entity']
C0001815|'Metaplasia, Myeloid::MYELOFIBROSIS::Agnogenic Myeloid Metaplasia'|[39, 44]|['Neoplasms']|['Blood disease']|['HP:0001871 ! Abnormality of blood and blood-forming tissues']|['DOID:14566 ! disease of cellular proliferation']
C0001818|'AGORAPHOBIA'|[651]|['Mental']|['Mental disorder']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0001824|'AGRANULOCYTOSIS'|[63]|['Blood']|['Blood disease']|['HP:0001871 ! Abnormality of blood and blood-forming tissues']|['DOID:7 ! disease of anatomical entity']
C0001916|'Albino'|[58]|['Metab']|['Eye disease', 'Genetic disease (inborn)', 'Metabolic disease', 'Skin disease']|['HP:0001574 ! Abnormality of the integument']|['DOID:0014667 ! disease of metabolism', 'DOID:225 ! syndrome', 'DOID:7 ! disease of anatomical entity']"
C0001973|'Ethanol Dependence::Chronic alcohol abuse::Alcoholism, chronic::Disease alcoholism::alcoholism Disease::ALCOHOLISM::Addiction, alcohol::Alcohol dependency::alcohol abuse alcoholism::ALCOHOL DEPENDENCE::addiction alcohol'|[660]|['Mental']|['Mental disorder', 'Substance-related disorder']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0002170|'ALOPECIA::Thinning of hair::HAIR LOSS::Bald::BALDNESS::Thinning hair::Loss Of Hair::Alopecia Areata'|[200]|['Derm']|['Pathology (anatomical condition)', 'Skin disease']|['HP:0001574 ! Abnormality of the integument']|['DOID:7 ! disease of anatomical entity']
C0002171|'ALOPECIA AREATA'|[200]|['Derm']|['Skin disease']|['HP:0001574 ! Abnormality of the integument']|['DOID:7 ! disease of anatomical entity']
C0002312|'alpha Thalassaemia::A-Thalassemia'|[59]|['Blood']|['Blood disease', 'Genetic disease (inborn)']|['HP:0001871 ! Abnormality of blood and blood-forming tissues']|['DOID:7 ! disease of anatomical entity']
C0002395|'alzheimers dementia::SDAT::Alzheimers Disease::Senile Dementia::Alzheimer dementia::SENILE DEMENTIA OF THE ALZHEIMER TYPE::DEMENTIA OF THE ALZHEIMER TYPE::dementia alzheimers::Dementia, Alzheimer Type::ALZHEIMER DISEASE'|[653]|['Neuro']|['Mental disorder', 'Nervous system disease']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:7 ! disease of anatomical entity']
C0002418|'Lazy Eye'|[89]|['Eye']|['Eye disease', 'Nervous system disease', 'Signs and symptoms']|['HP:0000478 ! Abnormality of the eye']|['DOID:7 ! disease of anatomical entity']
C0002448|'AMELOBLASTOMA'|[47]|['Neoplasms']|['Cancer']|['HP:0000152 ! Abnormality of head or neck']|['DOID:14566 ! disease of cellular proliferation']
C0002622|'Memory Loss::Loss Of Memory'|[259]|['Neuro']|['Mental disorder', 'Nervous system disease', 'Signs and symptoms']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0002726|'AMYLOIDOSIS::AMYLOID'|[58]|['Metab']|['Metabolic disease']|['HP:0001939 ! Abnormality of metabolism/homeostasis']|['DOID:0014667 ! disease of metabolism']
C0002736|'Lou-Gehrigs Disease::LOU GEHRIG DISEASE::AMYOTROPHIC LATERAL SCLEROSIS'|[81]|['Neuro']|['Metabolic disease', 'Nervous system disease']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:7 ! disease of anatomical entity']
C0002792|'ANAPHYLAXIS::ANAPHYLACTIC REACTION'|[57, 238]|['Blood', 'Signs/Symptoms']|['Immune system disease']|['HP:0002715 ! Abnormality of the immune system']|['DOID:7 ! disease of anatomical entity']
C0002871|'Anemia, unspecified::ANEMIA'|[59]|['Blood']|['Blood disease']|['HP:0001871 ! Abnormality of blood and blood-forming tissues']|['DOID:7 ! disease of anatomical entity']
C0002873|'Secondary anemia'|[59]|['Blood']|['Blood disease']|['HP:0001871 ! Abnormality of blood and blood-forming tissues']|['DOID:7 ! disease of anatomical entity']
C0002874|'Anaemia, Aplastic'|[59, 238]|['Blood']|['Blood disease']|['HP:0001871 ! Abnormality of blood and blood-forming tissues']|['DOID:7 ! disease of anatomical entity']
C0002875|'Mediterranean anaemia'|[59]|['Blood']|['Blood disease', 'Genetic disease (inborn)']|['HP:0001871 ! Abnormality of blood and blood-forming tissues']|['DOID:7 ! disease of anatomical entity']
C0002878|'Haemolytic Anaemia'|[59]|['Blood']|['Blood disease']|['HP:0001871 ! Abnormality of blood and blood-forming tissues']|['DOID:7 ! disease of anatomical entity']
C0002880|'Autoimmune haemolytic anaemia'|[59]|['Blood']|['Blood disease', 'Immune system disease']|['HP:0001871 ! Abnormality of blood and blood-forming tissues', 'HP:0002715 ! Abnormality of the immune system']|['DOID:7 ! disease of anatomical entity']
C0002892|'Pernicious anaemia'|[59]|['Blood', 'Metab']|['Blood disease', 'Nutrition disorder']|['HP:0001871 ! Abnormality of blood and blood-forming tissues']|['DOID:0014667 ! disease of metabolism']
C0002895|'Cell Disease, Sickle::Sickle cell anaemia'|[61]|['Blood']|['Blood disease', 'Genetic disease (inborn)']|['HP:0001871 ! Abnormality of blood and blood-forming tissues']|['DOID:7 ! disease of anatomical entity']
C0002902|'ANENCEPHALY'|[216]|['Cong']|['Congenital abnormality', 'Nervous system disease']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:0080015 ! physical disorder']
C0002949|'Dissection of artery::ANEURYSM, DISSECTING::Arterial Dissection'|[104, 115]|['Cardio']|['Cardiovascular disease']|['HP:0001626 ! Abnormality of the cardiovascular system']|['DOID:7 ! disease of anatomical entity']
C0002962|'ANGINA::coronary angina::ANGINA PECTORIS'|[101]|['Cardio']|['Cardiovascular disease', 'Signs and symptoms']|['HP:0001626 ! Abnormality of the cardiovascular system']|['DOID:7 ! disease of anatomical entity']
C0002963|'Angina, Prinzmetal'|[101]|['Cardio']|['Cardiovascular disease', 'Signs and symptoms']|['HP:0001626 ! Abnormality of the cardiovascular system']|['DOID:7 ! disease of anatomical entity']
C0002965|'worse angina::Angina, Unstable'|[101]|['Cardio']|['Cardiovascular disease', 'Signs and symptoms']|['HP:0001626 ! Abnormality of the cardiovascular system']|['DOID:7 ! disease of anatomical entity']
C0002992|'Multiple Angioma'|[217]|['Cong', 'Neoplasms']|['Cardiovascular disease']|['HP:0000152 ! Abnormality of head or neck', 'HP:0001574 ! Abnormality of the integument', 'HP:0001626 ! Abnormality of the cardiovascular system', 'HP:0001871 ! Abnormality of blood and blood-forming tissues', 'HP:0002086 ! Abnormality of the respiratory system', 'HP:0002664 ! Neoplasm']|['DOID:7 ! disease of anatomical entity']
C0003123|'Anorexic::ANOREXIA'|[58, 259]|['Metab']|['Signs and symptoms']|['HP:0025031 ! Abnormality of the digestive system']|['DOID:150 ! disease of mental health']
C0003125|'ANOREXIA NERVOSA'|[670]|['Mental']|['Mental disorder']|['HP:0001507 ! Growth abnormality']|['DOID:150 ! disease of mental health']
C0003128|'ANOVULATION'|[174]|['Genitourinary']|['Endocrine system disease', 'Urogenital disease (female)']|['HP:0000119 ! Abnormality of the genitourinary system']|['DOID:7 ! disease of anatomical entity']
C0003165|'PULMONARY ANTHRACOSIS::Lungs, Black::Lung, Black::Coal Miner Lung'|[132]|['Resp']|['Respiratory tract disease']|['HP:0002086 ! Abnormality of the respiratory system', 'HP:0002715 ! Abnormality of the immune system']|['DOID:7 ! disease of anatomical entity']
C0003431|'ANTISOCIAL PERSONALITY::Sociopathy::Antisocial Personality Disorder::psychopath'|[658]|['Mental']|['Mental disorder']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0003466|'ANUS, IMPERFORATE'|[214]|['Cong']|['Congenital abnormality', 'Digestive system disease']|['HP:0025031 ! Abnormality of the digestive system']|['DOID:0080015 ! physical disorder']
C0003467|'anxieties::Anxiousness::Anxious::ANXIETY'|[651]|['Mental']|['Mental disorder']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0003469|'Anxiety Disease::Anxiety::ANXIETY DISORDERS::Anxiety condition::Anxiety Disorder'|[651]|['Mental']|['Mental disorder']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0003477|'Separation Anxiety'|[655]|['Dev']|['Mental disorder']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0003486|'AORTIC ANEURYSM::TAA::aorta aneurysm::Aneurysm of aorta'|[115]|['Cardio']|['Cardiovascular disease']|['HP:0001626 ! Abnormality of the cardiovascular system']|['DOID:7 ! disease of anatomical entity']
C0003492|'COARCTATION OF THE AORTA::COARCTATION OF AORTA::AORTIC COARCTATION'|[213]|['Cong']|['Cardiovascular disease', 'Congenital abnormality']|['HP:0001626 ! Abnormality of the cardiovascular system']|['DOID:7 ! disease of anatomical entity']
C0003493|'Disease of aorta::Disease of the aorta::Disease, Aortic::Aortic Diseases::Aorta Disease'|[117]|['Cardio']|['Cardiovascular disease']|['HP:0001626 ! Abnormality of the cardiovascular system']|['DOID:7 ! disease of anatomical entity']
C0003496|'Aortic Rupture'|[115]|['Cardio']|['Cardiovascular disease', 'Wounds and injuries']|['HP:0001626 ! Abnormality of the cardiovascular system']|['DOID:7 ! disease of anatomical entity']
C0003504|'AORTIC INSUFFICIENCY::AORTIC REGURGITATION::ai'|[96]|['Cardio']|['Cardiovascular disease']|['HP:0001626 ! Abnormality of the cardiovascular system']|['DOID:7 ! disease of anatomical entity']
C0003507|'Stenosis of aorta::AORTIC STENOSIS::STENOSIS AORTIC VALVE'|[96, 213]|['Cong']|['Cardiovascular disease']|['HP:0001626 ! Abnormality of the cardiovascular system']|['DOID:7 ! disease of anatomical entity']
C0003537|'APHASIA'|[95]|['Neuro']|['Nervous system disease', 'Signs and symptoms']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0003578|'APNOEA::Arrest, Respiratory::breathing stop::Apnoeic::Apneic episodes::APNEAS'|[133]|['Resp']|['Respiratory tract disease', 'Signs and symptoms']|['HP:0002086 ! Abnormality of the respiratory system']|['DOID:7 ! disease of anatomical entity']
C0003614|'Tumour of the Appendix'|[142]|['GI']|['Cancer', 'Digestive system disease']|['HP:0025031 ! Abnormality of the digestive system']|['DOID:14566 ! disease of cellular proliferation']
C0003615|'Acute Appendicitis::APPENDICITIS'|[142]|['GI']|['Digestive system disease']|['HP:0025031 ! Abnormality of the digestive system']|['DOID:7 ! disease of anatomical entity']
C0003706|'ARACHNODACTYLY::Long slender fingers'|[217]|['Cong']|['Congenital abnormality', 'Musculoskeletal disease']|['HP:0001507 ! Growth abnormality', 'HP:0040064 ! Abnormality of limbs']|['DOID:225 ! syndrome']
C0003803|'(Arnold) Chiari Malformation'|[216]|['Cong']|['Congenital abnormality', 'Nervous system disease']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:7 ! disease of anatomical entity']
C0003811|'Cardiac Arrhythmias::Heart Dysrhythmia::cardiac rhythm Disease::Arrhythmias::heart rhythm disorder::Cardiac dysrhythmia::Irregular heartbeats::Cardiac dysrhythmias::Heart Arrhythmias::heart rhythm disturbances::cardiac rhythm disturbance::heart arrhythmia::heart rhythm disturbance::Irregular heartbeat::Arrhythmia, Cardiac::DYSRHYTHMIA::Arrythmia'|[106]|['Cardio']|['Cardiovascular disease', 'Pathology (process)']|['HP:0001626 ! Abnormality of the cardiovascular system']|['DOID:7 ! disease of anatomical entity']
C0003838|'Arterial occlusive disease'|[117]|['Cardio']|['Cardiovascular disease']|['HP:0001626 ! Abnormality of the cardiovascular system']|['DOID:7 ! disease of anatomical entity']
C0003850|'Arterial Sclerosis::ATHEROSCLEROSIS::ARTERIOSCLEROSIS::ARTERIOSCLEROTIC VASCULAR DISEASE'|[114]|['Cardio']|['Cardiovascular disease']|['HP:0001626 ! Abnormality of the cardiovascular system']|['DOID:7 ! disease of anatomical entity']
C0003857|'av malformation::Arteriovenous Malformation::AVM'|[217]|['Cong']|['Cardiovascular disease', 'Congenital abnormality']|['HP:0001626 ! Abnormality of the cardiovascular system']|['DOID:7 ! disease of anatomical entity']
C0003862|'Ache in joint::JOINT PAINS::ARTHRALGIA::JOINT PAIN::Pain in joints::ARTHRALGIAS::JOINT ACHE'|[204]|['Musc/Skel']|['Musculoskeletal disease', 'Signs and symptoms']|['HP:0025142 ! Constitutional symptom']|['DOID:7 ! disease of anatomical entity']
C0003864|'Inflammatory arthropathy::ARTHRITIS::Arthritis, inflammatory'|[203]|['Musc/Skel']|['Musculoskeletal disease']|['HP:0033127 ! Abnormality of the musculoskeletal system']|['DOID:7 ! disease of anatomical entity']
C0003868|'arthritis gout::ARTHRITIS, GOUTY::gout arthritis::Articular gout'|[54]|['Musc/Skel']|['Genetic disease (inborn)', 'Metabolic disease', 'Musculoskeletal disease']|['HP:0033127 ! Abnormality of the musculoskeletal system']|['DOID:7 ! disease of anatomical entity']
C0003869|'ARTHRITIS, SEPTIC'|[1, 4, 9, 201]|['Musc/Skel']|['Musculoskeletal disease']|['HP:0033127 ! Abnormality of the musculoskeletal system']|['DOID:7 ! disease of anatomical entity']
C0003872|'Psoriasis, Arthritic::ARTHRITIS, PSORIATIC'|[198]|['Derm', 'Musc/Skel']|['Musculoskeletal disease', 'Skin disease']|['HP:0033127 ! Abnormality of the musculoskeletal system']|['DOID:7 ! disease of anatomical entity']
C0003873|'Rheumatoid disease::ARTHRITIS, RHEUMATIC::RHEUMATOID ARTHRITIS'|[202]|['Blood', 'Musc/Skel']|['Connective tissue disease', 'Immune system disease', 'Musculoskeletal disease']|['HP:0033127 ! Abnormality of the musculoskeletal system']|['DOID:7 ! disease of anatomical entity']
C0003910|'Speech Articulation Disorder'|[95, 113, 654]|['Cardio', 'Dev', 'Neuro']|['Nervous system disease', 'Signs and symptoms']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0003948|'Exposure to asbestos::ASBESTOS EXPOSURE::Exposed asbestos'|[]|[]|[]|[]|[]
C0003949|'ASBESTOSIS'|[132]|['Resp']|['Occupational disease', 'Respiratory tract disease']|['HP:0002086 ! Abnormality of the respiratory system', 'HP:0002715 ! Abnormality of the immune system']|['DOID:7 ! disease of anatomical entity']
C0003962|'ASCITES'|[151, 155]|['GI']|['Pathology (process)']|['HP:0025031 ! Abnormality of the digestive system']|['DOID:7 ! disease of anatomical entity']
C0004030|'ASPERGILLOSIS::Infection, Aspergillus'|[4]|['ID']|['Bacterial infection or mycosis']|['HP:0001574 ! Abnormality of the integument', 'HP:0002086 ! Abnormality of the respiratory system']|['DOID:0050117 ! disease by infectious agent']
C0004058|'ASPIRIN ALLERGY'|[]|['Rx']|['Immune system disease']|['HP:0002715 ! Abnormality of the immune system']|['DOID:7 ! disease of anatomical entity']
C0004059|'ASPIRIN INTOLERANCE'|[]|[]|[]|[]|[]
C0004096|'Asthmatic::asthma Disease::ASTHMA::ASTHMA, BRONCHIAL'|[128]|['Resp']|['Immune system disease', 'Respiratory tract disease']|['HP:0002086 ! Abnormality of the respiratory system', 'HP:0002715 ! Abnormality of the immune system']|['DOID:7 ! disease of anatomical entity']
C0004099|'Asthma, Exercise-Induced'|[128]|['Resp']|['Immune system disease', 'Respiratory tract disease']|['HP:0002086 ! Abnormality of the respiratory system']|['DOID:7 ! disease of anatomical entity']
C0004114|'Astrocytomas::ASTROCYTOMA'|[95]|['Neoplasms']|['Cancer']|['HP:0000707 ! Abnormality of the nervous system', 'HP:0002664 ! Neoplasm']|['DOID:14566 ! disease of cellular proliferation']
C0004134|'ATAXIA'|[95]|['Neuro']|['Nervous system disease', 'Signs and symptoms']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:7 ! disease of anatomical entity']
C0004135|'ATAXIA-TELANGIECTASIA::Ataxia Telangiectasia Syndrome'|[81]|['Neuro']|['Cardiovascular disease', 'Genetic disease (inborn)', 'Immune system disease', 'Metabolic disease', 'Nervous system disease']|['HP:0001626 ! Abnormality of the cardiovascular system']|['DOID:7 ! disease of anatomical entity']
C0004153|'ATHEROSCLEROSIS::Atherosclerotic Cardiovascular Disease::Atheroscleroses::ATHEROSCLEROTIC VASCULAR DISEASE'|[114]|['Cardio']|['Cardiovascular disease']|['HP:0001626 ! Abnormality of the cardiovascular system']|['DOID:7 ! disease of anatomical entity']
C0004161|'Sports Injuries'|[244]|[]|['Wounds and injuries']|[]|[]
C0004238|'AFib::ATRIAL FIBRILLATION'|[106]|['Cardio']|['Cardiovascular disease', 'Pathology (process)']|['HP:0001626 ! Abnormality of the cardiovascular system']|['DOID:7 ! disease of anatomical entity']
C0004352|'AUTISM::AUTISTIC::child autism'|[655]|['Dev']|['Mental disorder']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0004364|'AUTOIMMUNE DISEASE::Autoimmune Diseases::Autoimmune Disorders::AUTOIMMUNE DISORDER'|[57]|['Blood']|['Immune system disease']|['HP:0002715 ! Abnormality of the immune system']|['DOID:7 ! disease of anatomical entity']
C0004601|'BACK INJURY'|[244]|['Musc/Skel']|['Wounds and injuries']|[]|['DOID:7 ! disease of anatomical entity']
C0004610|'Bacteraemia NOS::blood poisoning'|[2, 3]|['ID']|['Bacterial infection or mycosis', 'Pathology (process)']|['HP:0002715 ! Abnormality of the immune system']|['DOID:0050117 ! disease by infectious agent']
C0004623|'Bacterial Infection'|[3]|['ID']|['Bacterial infection or mycosis']|['HP:0002086 ! Abnormality of the respiratory system']|['DOID:0050117 ! disease by infectious agent']
C0004626|'Bacterial Pneumonia'|[122]|['ID', 'Resp']|['Bacterial infection or mycosis', 'Respiratory tract disease']|['HP:0002086 ! Abnormality of the respiratory system', 'HP:0002715 ! Abnormality of the immune system']|['DOID:7 ! disease of anatomical entity']
C0004763|'barrett oesophagitis::BARRETT ESOPHAGUS'|[138]|['GI']|['Cancer', 'Digestive system disease']|['HP:0025031 ! Abnormality of the digestive system']|['DOID:7 ! disease of anatomical entity']
C0004930|'behavioural disorder::Behavioral Disease::Behaviour disorder::Behavioral disorders'|[652]|['Dev']|['Mental disorder']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0004936|'Psychiatric condition::Psychiatric Illness::Psychological disorder::Mental Disorder::psychological Diseases::Mental disease::Psychiatric Disease::Mental health Disease::Psychiatric Disorders::Psychiatric Disorder::MENTAL DISORDERS::Mental Illness::Psychotic NOS::Psychiatric Illnesses'|[659]|['Mental']|['Mental disorder']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0004943|'Behçet Disease'|[8, 211]|['Musc/Skel']|['Cardiovascular disease', 'Eye disease', 'Genetic disease (inborn)', 'Mouth disease', 'Skin disease']|['HP:0000478 ! Abnormality of the eye']|['DOID:7 ! disease of anatomical entity']
C0004991|'Benign Colon Tumor'|[47]|['Neoplasms']|['Cancer', 'Digestive system disease']|['HP:0025031 ! Abnormality of the digestive system']|['DOID:7 ! disease of anatomical entity']
C0004997|'Benign Ovarian Neoplasm::Benign tumour of ovary::Benign ovarian tumour'|[47]|['Neoplasms']|['Cancer']|['HP:0002664 ! Neoplasm']|['DOID:14566 ! disease of cellular proliferation']
C0005283|'beta Thalassaemia'|[59]|['Blood']|['Blood disease', 'Genetic disease (inborn)']|['HP:0001871 ! Abnormality of blood and blood-forming tissues']|['DOID:7 ! disease of anatomical entity']
C0005411|'BILIARY ATRESIA'|[214]|['Cong']|['Congenital abnormality', 'Digestive system disease']|['HP:0025031 ! Abnormality of the digestive system']|['DOID:7 ! disease of anatomical entity']
C0005426|'Biliary tumor'|[149]|['GI']|['Cancer', 'Digestive system disease']|['HP:0025031 ! Abnormality of the digestive system']|['DOID:14566 ! disease of cellular proliferation']
C0005586|'Manic depression::Manic Depressive Disease::Bipolar Disease::manic depressive::BIPOLAR AFFECTIVE DISORDER::Manic-depressive psychosis::BPAD::MANIC DEPRESSIVE ILLNESS::bipolar illness::Bi-polar Disorder::Bipolar Disorder::bipolar mood disorder::BIPOLAR DISORDERS::Manic Depressive Disorder'|[657]|['Mental']|['Mental disorder']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0005587|'Bipolar Depression::bipolar disorder depression::BIPOLAR DISEASE, DEPRESSED::Bipolar Depressive disorder::depression bipolar disorder'|[657]|['Mental']|['Mental disorder']|['HP:0000707 ! Abnormality of the nervous system']|['DOID:150 ! disease of mental health']
C0005604|'BIRTH TRAUMA::Birth Injury'|[223]|['Neonate']|['Infant-newborn disease', 'Wounds and injuries']|['HP:0031797 ! Clinical course']|['DOID:225 ! syndrome', 'DOID:7 ! disease of anatomical entity']"
C0005658|'Bite'|[244]|[]|['Wounds and injuries']|[]|[]
C0005683|'Bladder stones'|[160]|['Genitourinary']|['Pathology (anatomical condition)', 'Urogenital disease (female)', 'Urogenital disease (male)']|['HP:0000119 ! Abnormality of the genitourinary system']|['DOID:7 ! disease of anatomical entity']
C0005684|'Cancer, Urinary Bladder::Bladder Cancers::Cancer of Bladder::Bladder Ca::BLADDER CANCER::Cancer of the Bladder'|[32]|['Neoplasms']|['Cancer', 'Urogenital disease (female)', 'Urogenital disease (male)']|['HP:0000119 ! Abnormality of the genitourinary system']|['DOID:14566 ! disease of cellular proliferation']
C0005686|'Disease of bladder::disease bladder::Bladder Disease'|[162]|['Genitourinary']|['Urogenital disease (female)', 'Urogenital disease (male)']|['HP:0000119 ! Abnormality of the genitourinary system']|['DOID:7 ! disease of anatomical entity']
C0005694|'Urinary Outlet Obstruction'|[162]|['Genitourinary']|['Urogenital disease (female)', 'Urogenital disease (male)']|['HP:0000119 ! Abnormality of the genitourinary system']|['DOID:7 ! disease of anatomical entity']
C0005695|'Bladder cancer::Tumour of bladder::Bladder Tumors::Bladder Tumour'|[43]|['Neoplasms']|['Cancer', 'Urogenital disease (female)', 'Urogenital disease (male)']|['HP:0000119 ! Abnormality of the genitourinary system']|['DOID:14566 ! disease of cellular proliferation']
C0005697|'NEUROGENIC BLADDER'|[162]|['Genitourinary']|['Nervous system disease', 'Signs and symptoms', 'Urogenital disease (female)', 'Urogenital disease (male)']|['HP:0000119 ! Abnormality of the genitourinary system']|['DOID:7 ! disease of anatomical entity']
C0005700|'Explosion NOS'|[244]|[]|['Wounds and injuries']|[]|[]
C0005745|'PTOSIS'|[91]|['Eye']|['Eye disease']|['HP:0000478 ! Abnormality of the eye']|['DOID:7 ! disease of anatomical entity']
C0005747|'BLEPHAROSPASM'|[81]|['Neuro']|['Eye disease']|['HP:0000152 ! Abnormality of head or neck', 'HP:0000707 ! Abnormality of the nervous system']|['DOID:7 ! disease of anatomical entity']
